Variable,vName,vclass,vtype,vDiscription
290,CovTrtL,Cov,type,Absolute percent cover of planted legumes
291,CovW,Cov,type,Absolute percent cover of woody plants
292,BioC3,Bio,photo,Aboveground biomass (g/m2) of C3 grasses (planted + nonplanted)
293,BioC4,Bio,photo,Aboveground biomass (g/m2) of C4 grasses (planted + nonplanted)
294,BioF,Bio,type,Aboveground biomass (g/m2) of forbs (planted + nonplanted)
295,BioG,Bio,photo,"Aboveground biomass (g/m2) of grasses, photosynthetic pathway unknown"
296,BioL,Bio,type,Aboveground biomass (g/m2) of legumes (planted + nonplanted)
297,BioNPlt,Bio,inv,Aboveground biomass (g/m2) of non-planted species
298,BioNonC3,Bio,photo_inv,Aboveground biomass (g/m2) of non-planted C3 grasses
299,BioNonC4,Bio,photo_inv,Aboveground biomass (g/m2) of non-planted C4 grasses
300,BioNonF,Bio,type_inv,Aboveground biomass (g/m2) of non-planted forbs
301,BioNonL,Bio,type_inv,Aboveground biomass (g/m2) of non-planted legumes
302,BioS,Bio,type,Aboveground biomass (g/m2) of sedges
303,BioTrt,Bio,inv,Aboveground biomass (g/m2) of planted species
304,BioTrtC3,Bio,photo_inv,Aboveground biomass (g/m2) of planted C3 grasses
305,BioTrtC4,Bio,photo_inv,Aboveground biomass (g/m2) of planted C4 grasses
306,BioTrtF,Bio,type_inv,Aboveground biomass (g/m2) of planted forbs
307,BioTrtL,Bio,type_inv,Aboveground biomass (g/m2) of planted legumes
308,BioW,Bio,type,Aboveground biomass (g/m2) of woody plants
